"Carimbo de data/hora","1. Qual a sua faixa etária?","2. Qual seu sexo?","3. Qual seu nível de escolaridade?","4. Selecione abaixo os seus gêneros literários preferidos:","5. Quantos livros, em média, você lê por ano?","6. Qual é a sua forma preferida de leitura?","7. Em que tipo de ambiente você costuma ler?","8. Qual é o seu maior obstáculo para ler um livro? (Dificuldades e limitações)","9. O que a leitura pode contribuir/contribuiu para você?","10. Qual foi o seu primeiro contato com a leitura?","PERGUNTA EXTRA
O que você sugere para melhorar a experiência do leitor com os livros e bibliotecas?"
"2024/02/21 10:19:02 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Autoajuda","6 a 10 livros","Livro físico","Em casa","Quando não acho o livro tão interessante ou quando o valor do livro é muito caro.","Em tudo, conhecimento ","Na escola","Livros atuais."
"2024/02/21 10:21:23 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Autoajuda;Biografia","1 a 5 livros","Livro físico","Em casa","Vontade e tempo","Em tudo na vida","Em casa","Consulta on-line do acervo "
"2024/02/21 10:23:20 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;História","1 a 5 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...","Tempo","Melhora na escrita e interpretação de texto","Em casa",""
"2024/02/21 10:25:37 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Ficção científica;Artigos Acadêmicos","6 a 10 livros","E-Book","Em casa","Nenhum","Desenvolvimento pessoal, aumento do intelectual ","Em casa","Maior disponibilidade de acervos gratuitos "
"2024/02/21 10:31:09 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;História","6 a 10 livros","Livro físico","Em casa","Tempo","Melhorar leitura e escrita/ Melhorar a concentração","Na escola",""
"2024/02/21 10:34:28 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;História","6 a 10 livros","Livro físico","Em casa","TDH","Resiliência ","Em casa","N"
"2024/02/21 10:44:04 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Ficção científica;Autoajuda","1 a 5 livros","E-Book","Transporte público","O meu é a perca da capacidade de foco","A leitura pode te dar uma nova visão de mundo, fazer você enxergar os acontecimentos de uma forma diferente e pode te ajudar a lidar com certas situações","Na escola",""
"2024/02/21 11:23:13 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Ficção científica","1 a 5 livros","Livro físico","Em casa","Concentração ",".","Em casa",""
"2024/02/21 11:28:07 AM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Autoajuda","1 a 5 livros","Livro físico","Em casa","Tempo pra leitura","Aprendizagem ,maior conhecimento das palavras","Na escola","Mais divulgações com eventos que atraiam mais publicos para consumir mais livros e ir aos locais"
"2024/02/21 12:24:44 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Suspense;Ficção científica","6 a 10 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...","Preguiça ","Conhecimento ","Em casa","Entender que nem todo livro é pra todo mundo e nem todo mundo lê qualquer coisa. As pessoas tendem a não gostar de livros por puro preconceito, pois provavelmente seu primeiro contato foi com Dom Casmurro, Vidas Secas ou outro clássico da literatura brasileira que, apesar de serem excelentes, eu não indicaria como primeira viagem."
